"Title","Review"
"Value-for-money","Good Product Pros. - Nice display, good battery,  good camera,  well optimize, and value for money products. 4gb variant is not so nice deal. Gcam experience is great. Cons. - Internet speed is very slow. GPS is very poor.My opinion - Can go for it,  3gb variant will be a ultimate deal."
"Terrific purchase","wonderful mobile for this price rangei loved its display and fabulous camera performance A total value for money phone that everyone can afford"
"Terrific purchase","Nice mobile and nice looking good superb xiaomi and redmi and filpkart thanks 4 all"
"Excellent","Guys i am writing this review after 48 hours of usgae.So that read first then buy if u want..I am a redmi user from last 5 years , so on basis on that i want to say that this phone is awesome.Display - 8/10, really good display but not amoloed.Front Camera - 7/10, go for note 7 pro for best camera.Rear Camera - 8/10, really good but not as 7 pro.Processor - 10/10, just excellent. 660@2.2gHzBattery - 8/10, whole day battery in heavy usage.Speakers - 8/10, just fine quality.User Interf..."
"Pretty good","Redmi note 7One day delivery :)Looks premium,feels good,Display looks fantastic, good colours.camera is quite good and satisfactory if there is proper light.Snapdragon 660 is an already proven tech no complains so far,4000mah battery is good enough. great phone for the price range. Earphone jack Sound quality is good could have had dedicated memory slotcould have given a more powerful charger. as it supports quick charge 4.0speakers aren't great."
"Worth the money","*nice phone *                                                                                   Here the detailed review of this phone                                                          Camera :8/10                                                                                Battery :9/10                                                                                  storage :9/10                                                                                  Display:9/10           ..."
"Highly recommended","Very osam redmi note 7 mobile, good color, good camera, , good  & nice screen, good  performance, value of money. Totally 10 of 10.. Thank you redmi"
"Brilliant","pretty good phone with good cameras and very good performance and good battery backup.worth buying."
"Excellent","I'm not much of a critic, but more of a fair reviewer. I'll put in some details as well. Let's get started. Btw, I have the 4GB ram variant and Onyx Black back. Camera:- Seriously, it is better than I expected. After going through a plethora of reviews regarding the sub-par and surprisingly pathetic performance of the Camera(and recommendations of buying Pro instead), I did not expect too much. But the Camera, for its price range as well as generally speaking, is quite good. Even the f..."
"Simply awesome","Good clarity of images, nice performance, overall good for 12k. worth of penny."
"Worth the money","In my brief usage of around 8-9 days, i can definitely assure you that you can buy this phone, it's just one of the best in this price segment. 1.Performance is just flawless, no issues & i m not a hardcore gamer but a medium player & while playing pubg in hd graphics, it just play smoothly no frame drops. 2. Screen is super smooth & both front & back looks premium & sturdy. 3. Camera is also decent enough for the price, if you are a normal user like me who clicks photos occasionally, this..."
"Best in the market!... Go for it..","First of all thanks to God that i succeed to get it in the first sale and within 24 hours of ordering....:DEverything is awesome including Flipkart delivery service....Let's talk about the phone.. In short it's a beast in this price no other device at this price segment can beat this....I liked it very much let's be in pros and cons...Pros:1. Look & Build: obviously it looks very premium in and feel and look-wise.... Specially Gorilla glass on back makes it premium.... It has very good b..."
"Value-for-money","Good Product Pros. - Nice display, good battery,  good camera,  well optimize, and value for money products. 4gb variant is not so nice deal. Gcam experience is great. Cons. - Internet speed is very slow. GPS is very poor.My opinion - Can go for it,  3gb variant will be a ultimate deal."
"Delightful","mobile are good but back camera not gud but front camera super nice selfie and performance nice and i m happy to this"
"Great phone for less money.","Great phone for less money. Great in one word. Is in charge very soon. Camera pictures are great. However, the phone gets hot soon after playing the game."
